바마, 178, 66
라바, 151, 72
다아, 165, 57
가바, 154, 97
나바, 165, 48
라라, 163, 57
바다, 167, 64
다사, 183, 51
마마, 158, 93
나가, 176, 40
가가, 142, 71
다라, 150, 96
가아, 168, 46
바마, 187, 90
마사, 174, 62
라마, 166, 52
나다, 146, 80
마마, 152, 49
사나, 142, 79
마아, 156, 79
나사, 153, 90
라마, 170, 82
아나, 160, 91
가마, 145, 59
사사, 167, 59
바라, 149, 72
마사, 167, 97
다가, 154, 67
라사, 172, 43
가마, 153, 78
바나, 181, 69
라아, 152, 53
다마, 184, 80
사마, 153, 98
사사, 174, 68
사가, 171, 46
아바, 153, 95
마다, 170, 98
바라, 153, 76
바사, 152, 55
사아, 167, 98
아사, 184, 66
라나, 154, 59
아나, 179, 91
마가, 181, 82
다나, 155, 63
마사, 143, 75
가라, 148, 99
바다, 156, 91
사바, 182, 79
라사, 164, 80
바라, 168, 70
라사, 182, 60
바마, 150, 52
라다, 176, 47
바아, 171, 93
나사, 150, 84
마다, 182, 49
나마, 180, 78
나아, 180, 94
바마, 149, 82
나다, 146, 99
나바, 160, 82
사다, 179, 56
사가, 175, 83
라나, 171, 93
아사, 186, 53
다가, 169, 62
다나, 142, 56
라아, 165, 85
가마, 185, 68
마나, 144, 46
다가, 172, 91
바바, 187, 43
라가, 176, 66
가사, 172, 56
아나, 147, 81
라마, 160, 58
마바, 186, 82
가마, 141, 83
다바, 165, 44
라바, 152, 48
사가, 161, 84
아바, 179, 86
다아, 164, 51
마바, 165, 50
사다, 183, 65
아가, 155, 99
다라, 167, 64
가나, 180, 50
가나, 154, 91
가라, 165, 98
마다, 159, 50
아라, 141, 77
아마, 147, 40
마가, 157, 83
마다, 176, 51
나마, 157, 72
나마, 162, 68
사가, 187, 70
마마, 150, 88
바사, 174, 53
다나, 166, 48
마바, 186, 74
나가, 172, 42
나다, 159, 94
라라, 162, 70
나마, 172, 82
다나, 153, 46
아사, 173, 83
사가, 149, 60
나다, 179, 82
사사, 170, 93
아아, 151, 50
사나, 169, 55
마마, 165, 89
바라, 160, 59
가아, 183, 76
나사, 169, 61
아라, 165, 83
아나, 174, 81
나마, 157, 60
아아, 143, 63
라다, 173, 61
사바, 162, 72
라마, 172, 95
라사, 187, 77
아라, 155, 40
마사, 141, 77
마바, 182, 68
사다, 169, 60
가다, 156, 66
라라, 140, 74
사나, 187, 97
사라, 167, 40
마나, 185, 71
아다, 143, 51
나마, 160, 53
사아, 188, 94
다마, 182, 53
다바, 157, 58
사마, 187, 75
사마, 149, 75
가사, 154, 73
가나, 153, 49
다아, 142, 96
가마, 165, 79
다다, 161, 53
라다, 159, 72
사가, 157, 68
마라, 165, 68
마마, 149, 97
가마, 185, 56
다아, 176, 76
마아, 189, 71
아아, 189, 99
가바, 151, 58
바사, 173, 76
아라, 150, 43
라라, 156, 51
사마, 180, 64
아다, 179, 79
사아, 153, 40
라라, 150, 94
아라, 161, 40
사가, 188, 85
라라, 184, 51
라바, 182, 80
바아, 152, 78
나나, 186, 46
마아, 180, 65
바아, 189, 49
라마, 169, 55
라아, 157, 74
사가, 171, 65
사라, 180, 76
다마, 183, 58
다바, 174, 62
사나, 189, 67
사가, 188, 50
바마, 148, 54
바마, 183, 86
아사, 150, 49
아다, 159, 47
아가, 182, 85
사다, 180, 66
가라, 163, 63
가바, 143, 60
사라, 169, 92
마가, 186, 85
나다, 148, 51
아아, 186, 55
나바, 166, 83
마라, 175, 43
라나, 186, 52
아바, 175, 73
라마, 172, 70
아아, 188, 75
바가, 149, 59
다아, 168, 44
가나, 159, 98
라나, 169, 73
바마, 174, 72
아나, 149, 82
아아, 143, 42
나아, 182, 50
다다, 148, 45
사나, 165, 94
사사, 178, 50
다나, 180, 79
다다, 148, 79
나사, 145, 45
사나, 181, 41
다다, 176, 76
가사, 163, 49
다나, 148, 65
아마, 182, 58
아다, 169, 49
나나, 155, 82
바마, 168, 90
가다, 166, 70
가바, 168, 62
사가, 153, 70
다사, 165, 92
바마, 159, 51
마다, 176, 69
마라, 166, 63
나가, 142, 66
다마, 153, 90
사가, 177, 71
아다, 155, 63
나바, 173, 72
마가, 189, 77
마바, 185, 85
아가, 146, 84
바라, 152, 46
라다, 163, 79
다사, 154, 80
가아, 180, 80
다바, 148, 61
바다, 188, 66
마사, 146, 55
마라, 189, 56
가가, 164, 56
마나, 173, 52
라나, 147, 76
나마, 186, 93
아마, 153, 64
바아, 151, 46
다나, 178, 65
마아, 165, 91
다마, 151, 97
마다, 148, 84
가가, 177, 92
나라, 141, 50
다라, 181, 96
라사, 150, 99
아다, 184, 40
라마, 178, 59
마마, 147, 69
다사, 153, 95
나가, 174, 81
다바, 174, 73
사마, 155, 49
마아, 148, 68
마마, 150, 66
라가, 176, 63
바아, 183, 66
나아, 143, 70
아아, 177, 48
사바, 143, 66
라다, 165, 47
라아, 166, 86
아아, 184, 47
나다, 154, 43
다가, 167, 64
가다, 187, 78
다사, 183, 45
마라, 143, 87
아가, 141, 51
아아, 173, 98
나바, 185, 86
다사, 187, 59
나사, 154, 42
사라, 157, 94
나다, 147, 69
마아, 177, 50
라다, 141, 54
사가, 172, 88
나나, 142, 87
바마, 177, 89
나아, 171, 49
마가, 174, 63
나가, 155, 60
가마, 172, 60
바사, 172, 62
라다, 154, 68
나나, 176, 74
라나, 179, 88
아사, 189, 66
마다, 168, 48
가나, 161, 80
바라, 181, 94
라라, 160, 78
마아, 160, 48
나가, 189, 85
가아, 161, 50
바가, 183, 80
바라, 165, 64
가바, 149, 41
바마, 185, 78
사가, 155, 81
아나, 171, 50
다다, 142, 79
사라, 140, 55
다아, 174, 79
나다, 176, 51
바다, 174, 83
나아, 172, 85
나라, 149, 70
마나, 170, 87
가라, 187, 71
바사, 168, 48
마사, 140, 54
다다, 169, 46
바라, 174, 94
나나, 174, 74
라바, 140, 95
라마, 141, 95
라마, 150, 49
사다, 147, 62
가아, 176, 71
사마, 153, 58
아바, 159, 77
마가, 178, 43
가나, 148, 96
바나, 178, 72
가아, 173, 63
마사, 142, 49
다마, 180, 73
사가, 171, 44
다사, 143, 60
사마, 156, 76
나라, 146, 87
라다, 150, 73
마바, 170, 40
사바, 150, 87
마아, 163, 43
가라, 179, 65
라가, 151, 59
나바, 167, 62
아마, 172, 75
사사, 178, 69
사다, 156, 84
마아, 143, 85
아바, 150, 73
